source,division,exam_type,form_date,exam_date,result_date
Linux,2601회,필기,2026-01-26,2026-01-27,시험종료 즉시
Linux,2601회,실기,2026-01-27,2026-03-14,2026-04-03
Linux,2602회,필기,2026-04-06,2026-05-02,시험종료 즉시
Linux,2602회,실기,2026-04-28,2026-06-13,2026-07-03
Linux,2603회,필기,2026-07-06,2026-08-01,시험종료 즉시
Linux,2603회,실기,2026-07-28,2026-09-12,2026-10-09
Linux,2604회,필기,2026-10-05,2026-10-31,시험종료 즉시
Linux,2604회,실기,2026-10-27,2026-12-12,2026-12-31
